;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
273;373;0.7661 s;273;373;0.0210 s;273;373;0.0130 s;273;373;0.0120 s;273;373;0.0100 s;273;373;0.0110 s;273;373;0.0100 s;0.0190 s;0.2155 s;0.0910 s;0.0910 s;0.0460 s
335;368;0.6888 s;335;368;0.0300 s;335;368;0.0150 s;335;368;0.0120 s;335;368;0.0120 s;335;368;0.0120 s;335;368;0.0115 s;0.0250 s;0.1845 s;0.0030 s;0.0030 s;0.0020 s
0;0;1.4312 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.7343 s;0.4085 s;1.7891 s;4.0062 s;0.8780 s
668;537;1.0940 s;668;537;0.0200 s;668;537;0.0030 s;668;537;0.0021 s;668;537;0.0020 s;668;537;0.0020 s;668;537;0.0020 s;0.0020 s;0.2848 s;0.9005 s;2.3442 s;0.4535 s
297;210;0.4046 s;297;210;0.0183 s;297;210;0.0080 s;297;210;0.0070 s;297;210;0.0070 s;297;210;0.0060 s;297;210;0.0070 s;0.0040 s;0.1026 s;0.2497 s;0.6058 s;0.1260 s
0;0;1.3742 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5344 s;0.4017 s;1.5911 s;3.5480 s;0.8155 s
291;189;0.3363 s;291;189;0.0230 s;291;189;0.0080 s;291;189;0.0060 s;291;189;0.0050 s;291;189;0.0060 s;291;189;0.0070 s;0.0090 s;0.0912 s;0.3300 s;0.7951 s;0.1686 s
258;430;0.7855 s;258;430;0.0140 s;258;430;0.0110 s;258;430;0.0080 s;258;430;0.0090 s;258;430;0.0080 s;258;430;0.0090 s;0.0080 s;0.2140 s;0.1170 s;0.2500 s;0.0556 s
189;492;0.8740 s;189;492;0.0140 s;189;492;0.0070 s;189;492;0.0050 s;189;492;0.0060 s;189;492;0.0050 s;189;492;0.0050 s;0.0020 s;0.2470 s;0.3315 s;0.9968 s;0.1840 s
550;605;1.1113 s;550;605;0.0190 s;550;605;0.0040 s;550;605;0.0030 s;550;605;0.0030 s;550;605;0.0040 s;550;605;0.0030 s;0.0360 s;0.3093 s;0.5091 s;1.8830 s;0.2600 s
270;295;0.5251 s;270;295;0.0200 s;270;295;0.0110 s;270;295;0.0080 s;270;295;0.0080 s;270;295;0.0080 s;270;295;0.0081 s;0.0070 s;0.1430 s;0.0810 s;0.3025 s;0.0415 s
0;0;1.3630 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4540 s;0.4139 s;1.5872 s;3.5143 s;0.7928 s
487;284;0.5283 s;487;284;0.0160 s;487;284;0.0100 s;487;284;0.0081 s;487;284;0.0080 s;487;284;0.0080 s;487;284;0.0080 s;0.0010 s;0.1425 s;0.0970 s;0.3727 s;0.0460 s
391;353;0.6439 s;391;353;0.0230 s;391;353;0.0160 s;391;353;0.0125 s;391;353;0.0120 s;391;353;0.0120 s;391;353;0.0126 s;0.0060 s;0.1719 s;0.0000 s;0.0000 s;0.0000 s
595;100;0.1950 s;595;100;0.0200 s;595;100;0.0020 s;595;100;0.0010 s;595;100;0.0020 s;595;100;0.0020 s;595;100;0.0010 s;0.1700 s;0.0480 s;0.7921 s;2.6704 s;0.3977 s
414;374;0.6889 s;414;374;0.0190 s;414;374;0.0160 s;414;374;0.0120 s;414;374;0.0120 s;414;374;0.0120 s;414;374;0.0120 s;0.0020 s;0.1800 s;0.0020 s;0.0020 s;0.0000 s
414;281;0.5179 s;414;281;0.0230 s;414;281;0.0120 s;414;281;0.0100 s;414;281;0.0090 s;414;281;0.0100 s;414;281;0.0090 s;0.0020 s;0.1360 s;0.0610 s;0.1221 s;0.0310 s
314;380;0.6951 s;314;380;0.0207 s;314;380;0.0140 s;314;380;0.0110 s;314;380;0.0110 s;314;380;0.0110 s;314;380;0.0110 s;0.0020 s;0.1832 s;0.0180 s;0.0170 s;0.0090 s
0;0;1.3590 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4622 s;0.3937 s;1.5619 s;3.5189 s;0.8078 s
352;408;0.7387 s;352;408;0.0260 s;352;408;0.0160 s;352;408;0.0130 s;352;408;0.0120 s;352;408;0.0120 s;352;408;0.0110 s;0.0050 s;0.1982 s;0.0010 s;0.0040 s;0.0010 s
358;368;0.6681 s;358;368;0.0161 s;358;368;0.0170 s;358;369;0.0130 s;358;368;0.0120 s;358;368;0.0130 s;358;368;0.0120 s;0.0040 s;0.1771 s;0.0000 s;0.0000 s;0.0000 s
