;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;0.6930 s;225;387;0.0150 s;225;387;0.0080 s;0.6630 s;0.0160 s;0.1966 s;0.2085 s;0.2185 s;0.1047 s
0;0;0.6111 s;372;332;0.0110 s;372;332;0.0130 s;0.5571 s;0.1200 s;0.1650 s;0.0040 s;0.0050 s;0.0020 s
0;0;0.7460 s;477;395;0.0120 s;477;395;0.0110 s;0.6766 s;0.0235 s;0.2015 s;0.0710 s;0.0885 s;0.0368 s
0;0;0.5341 s;391;290;0.0190 s;391;290;0.0110 s;0.4840 s;0.0370 s;0.1430 s;0.0470 s;0.0540 s;0.0240 s
0;0;0.7815 s;673;411;0.0170 s;673;411;0.0040 s;0.7143 s;0.0180 s;0.2180 s;0.9506 s;1.1770 s;0.4708 s
0;0;0.6900 s;379;376;0.0210 s;379;376;0.0150 s;0.6441 s;0.0080 s;0.1870 s;0.0010 s;0.0000 s;0.0000 s
0;0;1.3957 s;0;0;0.0000 s;0;0;0.0000 s;1.3840 s;1.6086 s;0.4160 s;1.6235 s;3.5172 s;0.8224 s
0;0;0.6696 s;361;366;0.0295 s;362;366;0.0150 s;0.6120 s;0.0211 s;0.1801 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7316 s;318;401;0.0140 s;318;401;0.0130 s;0.6830 s;0.0020 s;0.2030 s;0.0130 s;0.0280 s;0.0070 s
0;0;0.8070 s;270;449;0.0250 s;270;449;0.0100 s;0.7716 s;0.0040 s;0.2289 s;0.0825 s;0.2635 s;0.0415 s
0;0;0.9317 s;320;512;0.0150 s;320;512;0.0090 s;0.9010 s;0.0080 s;0.2698 s;0.1506 s;0.3251 s;0.0780 s
0;0;0.8992 s;422;486;0.0140 s;422;486;0.0100 s;0.8478 s;0.0140 s;0.2510 s;0.0890 s;0.1868 s;0.0459 s
0;0;0.7285 s;261;401;0.0116 s;261;401;0.0105 s;0.6902 s;0.0100 s;0.2027 s;0.1055 s;0.1410 s;0.0535 s
0;0;0.6265 s;318;341;0.0230 s;318;341;0.0120 s;0.5741 s;0.0230 s;0.1690 s;0.0150 s;0.0410 s;0.0080 s
0;0;0.6826 s;237;376;0.0120 s;237;376;0.0090 s;0.6489 s;0.0615 s;0.1911 s;0.1710 s;0.1742 s;0.0861 s
0;0;0.6207 s;532;326;0.0200 s;532;326;0.0090 s;0.5517 s;0.1125 s;0.1640 s;0.2119 s;0.3776 s;0.1075 s
0;0;0.7964 s;379;425;0.0132 s;379;425;0.0130 s;0.7374 s;0.0293 s;0.2171 s;0.0076 s;0.0060 s;0.0030 s
0;0;0.8239 s;295;454;0.0275 s;295;454;0.0110 s;0.7800 s;0.0470 s;0.2355 s;0.0505 s;0.1985 s;0.0250 s
0;0;0.7378 s;317;395;0.0290 s;317;395;0.0140 s;0.7012 s;0.0266 s;0.2011 s;0.0150 s;0.0250 s;0.0290 s
0;0;0.7828 s;216;429;0.0140 s;215;429;0.0080 s;0.7481 s;0.0210 s;0.2321 s;0.2399 s;0.4165 s;0.1180 s
